RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,Street,fromSt,toSt,Direction
29416,Queens,2018,11,7,19,30,22,254063,POINT (1012406.0190699047 214009.0107316322),BROOKLYN QUEENS EXPWY ET 41 EB,Dead End,Brooklyn Queens Expressway,NB\
28260,Brooklyn,2018,6,10,21,30,10,234370,POINT (1021707.8188510148 180037.26663365215),FLATLANDS AVENUE,Dead End,Dead end,EB\
17362,Queens,2014,6,5,3,0,48,141760,POINT (1035511.1 208590.7),KISSENA BLVD,HOR HARDING EXWY SR N,LONG IS EXWY,NB\
17284,Brooklyn,2014,6,15,18,30,69,27253,POINT (996988.9 161686.7),KINGS HWY,E 19 ST,OCEAN AV,EB\
27324,Queens,2017,12,2,2,45,24,51638,POINT (1027137.0649620692 187367.84715978886),ROCKAWAY BOULEVARD,93 Street,94 Street,EB\
25929,Brooklyn,2016,9,19,8,0,25,24077,POINT (986429.576934957 195505.50616997993),WATER STREET,Main Street,Dock Street,WB\
15833,Manhattan,2013,12,15,10,45,0,111224,POINT (1001665.7 245197),AMSTERDAM AV,W 168 ST,W 167 ST,SB\
25148,Brooklyn,2017,1,24,8,15,207,41379,POINT (1006946.7114951301 168331.08599749714),RALPH AVENUE,East 72 Street,Avenue J,NB\
30153,Queens,2019,3,26,10,15,142,156609,POINT (1021377.4310832593 188248.54285745235),ATLANTIC AVENUE,Eldert Lane,74 Place,WB\
28831,Bronx,2019,1,7,14,45,23,77222,POINT (1010821.7011826043 235698.2301299291),PROSPECT AVENUE,East 150 Street,Beck Street,NB\
27501,Bronx,2018,1,27,16,45,10,81236,POINT (1015463.4114633678 261105.15031111403),WEST MOSHOLU PARKWAY SOUTH,Mosholu Parkway,Dead End,SB\
9781,Bronx,2011,3,24,8,15,188,147679,POINT (1012559.8 263975.6),BROADWAY BET MANHATTAN COLLEGE PKWY & W 251ST ST,MANHATTAN COLLEGE PKWY,MANHATTAN COLLEGE PARKWAY,SB\
26809,Manhattan,2017,10,15,19,30,470,35916,POINT (991512.4817123285 211671.40663595186),2 AVENUE,East 38 Street,East 39 Street,SB\
23870,Queens,2016,10,8,13,15,568,153773,POINT (1018791.6682913717 192754.4578462668),JACKIE ROBINSON PARKWAY,Dead End,Cypres Hill Cemetery Boundary,WB\
9588,Brooklyn,2011,2,23,1,15,46,31341,POINT (999908.8 194926.6),BROADWAY BET WHIPPLE & THORNTON STS,WHIPPLE ST,DEBEVOISE ST,EB\
18063,Queens,2015,3,10,2,0,66,254747,POINT (1000807.2378440744 211489.9815926064),DUTCH KILLS STREET,Ed Koch Br Upper Roadway Appr,Ed Koch Br Upper Roadway Appr,NB\
26345,Brooklyn,2017,8,15,22,30,24,163723,POINT (994695.5627996423 183537.47240718192),WASHINGTON AVENUE,President Street,Eastern Parkway,NB\
26227,Brooklyn,2017,6,24,17,0,93,128673,POINT (1011662.3383493214 170995.58254216015),REMSEN AVENUE,Stillwells Place,Alley,NB\
28006,Queens,2018,5,15,17,30,291,156342,POINT (997369.8589727633 208628.7233612125),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,WB\
2858,Manhattan,2010,3,13,1,15,78,24147,POINT (986190.5 199855.6),E/B CANAL ST @ ALLEN ST,ELDRIDGE ST,ALLEN ST,EB\
2735,Brooklyn,2010,7,26,1,15,4,35495,POINT (998674.6 204031.8),E/B NORMAN AVE @ DIAMOND ST,NEWEL ST,DIAMOND ST,EB\
15389,Manhattan,2013,7,22,15,15,238,158830,POINT (996063.7 223378.6),PARK AV,E 86 ST,E 85 ST,NB\
11992,Brooklyn,2013,3,4,3,30,0,17102,POINT (976918.5 167912.2),4 AV,80 ST,79 ST,SB\
18393,Queens,2014,10,2,23,30,85,156062,POINT (1019600.3943219396 206701.75553401042),CONNECTOR,Queens Boulevard,Queens Boulevard,EB\
27357,Queens,2017,12,7,23,45,62,76210,POINT (1015896.41865051 211609.737263337),ROOSEVELT AVENUE,80 Street,81 Street,WB\
29315,Bronx,2018,10,28,14,15,56,70032,POINT (1006782.6435995317 233888.3974518158),BROOK AVENUE,East 140 Street,East 139 Street,SB\
16622,Queens,2014,6,3,18,0,279,132521,POINT (1029732.9 219626.7),WHITESTONE EXWY NB EXIT 14,WHITESTONE EXPRESSWAY SR E/STRATTON ST,WHITESTONE EXWY,NB\
28622,Queens,2018,7,19,10,30,51,101934,POINT (1058334.9030028528 216783.72999734504),MARATHON PARKWAY,Horace Harding Expressway Sr N,Thornhill Avenue,NB\
30546,Brooklyn,2019,6,4,17,15,0,66029,POINT (1001515.5032833918 203292.8484353077),APOLLO STREET,Nassau Avenue,Brooklyn Queens Expwy Et 34 Wb,SB\
26510,Brooklyn,2018,4,15,7,45,15,41813,POINT (1001629.1728826129 170894.6290598823),ALBANY AVENUE,Farragut Road,Glenwood Road,SB\
20856,Brooklyn,2015,6,23,12,30,41,26412,POINT (999994.505146609 155511.9266431005),AVENUE X,East 28 Street,East 27 Street,WB\
12038,Brooklyn,2013,2,4,23,30,30,197181,POINT (1002951.2 168449.4),KINGS HIGHWAY,AVENUE I,AVENUE J,SB\
17284,Brooklyn,2014,6,24,0,15,32,40638,POINT (1000790.6 165457.9),KINGS HWY,E 35 ST,E 36 ST,WB\
18613,Brooklyn,2014,11,11,1,30,34,168242,POINT (1010636.4 185170.8),E NEW YORK AV,POWELL ST,JUNIUS ST/PACIFIC ST,EB\
2822,Queens,2010,6,5,21,0,656,133512,POINT (1060176.5 189237.4),W/B SOUTHERN STATE PKWY TO LAURELTON PKY,BELT PKWY,DEAD END,WB\
15807,Brooklyn,2013,9,24,9,45,56,22855,POINT (989152.2 181916.6),7 AV,11 ST,10 ST,NB\
25797,Brooklyn,2017,5,9,22,45,56,28377,POINT (995284.633782779 178097.0455948737),PARKSIDE AVENUE,Flatbush Avenue,Parkside Court,EB\
31251,Queens,2019,9,27,20,45,104,91236,POINT (1031889.3439022127 219366.9934017646),32 AVENUE,140 Street,Leavitt Street,EB\
17391,Staten Island,2014,6,13,8,0,92,5454,POINT (938171.3 167847.3),FOREST AV,SOUTH AV,GRANDVIEW AV,WB\
26599,Manhattan,2017,10,15,10,30,64,39011,POINT (999070.3532958197 240513.85776579595),AMSTERDAM AVENUE,West 147 Street,West 148 Street,NB\
2139,Brooklyn,2009,6,28,15,45,13,35446,POINT (998288.5 201263.7),W/B BAYARD ST @ LORIMER ST,LORIMER ST,LEONARD ST,WB\
16701,Queens,2014,5,8,13,0,161,152651,POINT (1064282.7 204339.5),JAMAICA AV,LITTLE NECK PKWY,REMSEN LA,WB\
11583,Staten Island,2012,9,30,4,30,5,110263,POINT (935118.4 163944.1),GLEN ST,HUGHES AVE,SOUTH AV/FAHY AV,NB\
18351,Brooklyn,2014,10,5,6,0,23,21495,POINT (989590.5996420478 175085.9853313768),CATON AVENUE,Dahill Road,Mc Donald Avenue,EB\
18476,Brooklyn,2014,11,7,12,30,39,42037,POINT (1003983.0547620619 172383.62706908028),FOSTER AVENUE,East 51 Street,Utica Avenue,WB\
18613,Brooklyn,2014,10,29,8,45,47,163414,POINT (992723 163167.8),AV N,E 5 ST,OCEAN PKWY,WB\
17997,Manhattan,2014,10,5,11,30,90,193538,POINT (987339.6976945013 221199.38145567474),WEST END AVENUE,West 62 Street,Thelonious Monk Circle,NB\
12560,Manhattan,2011,9,14,9,15,139,33638,POINT (985063.1 210589.6),23RD ST W/O 7TH AVE,8 AV,7 AV,EB\
24306,Bronx,2016,9,13,15,45,39,89575,POINT (1027862.9843785508 263655.4373525234),STRANG AVENUE,De Reimer Avenue,Baychester Avenue,WB\
26511,Bronx,2017,10,8,4,45,12,78481,POINT (1012874.9790488159 242640.1739509368),PROSPECT AVENUE,Jennings Street,East 170 Street,SB\
26511,Bronx,2018,1,20,22,15,37,69696,POINT (1003840.0529787312 238630.26008742643),RIVER AVENUE,East 150 Street,East 151 Street,NB\
11638,Bronx,2013,4,8,17,30,291,79057,POINT (1016227.5 241049.2),WESTCHESTER AV BR,WESTCHESTER AV,BRONX RIVER AVENUE,EB\
20915,Brooklyn,2015,7,9,13,45,30,25316,POINT (992674.8338022291 156982.95111453065),EAST 2 STREET,Avenue T,Avenue U,SB\
18393,Queens,2014,9,29,1,30,1,151110,POINT (1024557.1496465012 204329.40336871982),CONNECTOR,Queens Boulevard,66 Road,WB\
9731,Staten Island,2011,3,12,10,0,154,194031,POINT (951871.1 161444.5),SLOSSON AVE SB APPROACH TO SCHMIDTS LN,SCHMIDTS LA,LORTEL AV,SB\
19207,Manhattan,2015,1,6,23,30,51,37217,POINT (991547.88244981 226042.65320975182),WEST 86 STREET,Columbus Avenue,Amsterdam Avenue,EB\
25982,Brooklyn,2016,9,30,18,0,92,187222,POINT (984478.0660651596 190671.78790281602),BQE WB ENTRANCE COLUMBIA ST,Dead End,Dead end,SB\
28842,Brooklyn,2018,11,5,14,15,0,31353,POINT (999492.5131498185 195230.8777798906),BROADWAY,Gerry Street,Bartlett Street,SB\
11583,Staten Island,2012,9,30,12,0,35,108388,POINT (918291.3 135350.6),ARTHUR KILL RD,SHARROTTS RD,WINANT LA,SB\
